episode,reward,score,energy,app_timeout_rate,task_timeout_rate,curve_type
154,-233.94049442354464,-0.0266666666666666,0.1978183626818937,0.0266666666666666,0.651,training
155,-356.8286618168737,-0.06,0.2200441292817383,0.06,0.655,training
156,-292.40148845845806,-0.04,0.2124796870282942,0.04,0.6526666666666666,training
157,-235.39632466840888,-0.0266666666666666,0.1992611264321227,0.0266666666666666,0.647,training
158,-262.2392373198549,-0.04,0.1970807749126016,0.04,0.6523333333333333,training
159,-375.8302072726423,-0.04,0.2243177167339237,0.04,0.654,training
160,-343.87226129394816,-0.0533333333333333,0.2151392156615543,0.0533333333333333,0.655,training
161,-389.1313603919435,-0.0466666666666666,0.2292456111214225,0.0466666666666666,0.6653333333333333,training
162,-308.62929405351275,-0.0266666666666666,0.2065242419517507,0.0266666666666666,0.6503333333333333,training
163,-358.43116690599703,-0.08,0.2194152790588238,0.08,0.656,training
164,-249.7351441016696,-0.0333333333333333,0.2043530686432386,0.0333333333333333,0.6493333333333333,training
165,-272.19466291844617,-0.0333333333333333,0.2074808067803321,0.0333333333333333,0.6513333333333333,training
166,-240.7054003256088,-0.0133333333333333,0.1997622909095841,0.0133333333333333,0.6476666666666666,training
167,-240.68443268487155,-0.0333333333333333,0.1978655523893871,0.0333333333333333,0.649,training
168,-245.2682127286068,-0.0333333333333333,0.1982356116908844,0.0333333333333333,0.6516666666666666,training
169,-208.2191840317927,-0.0266666666666666,0.1973388634472019,0.0266666666666666,0.65,training
170,-237.1020636680632,-0.0333333333333333,0.1989036394629107,0.0333333333333333,0.6516666666666666,training
171,-226.9333700286728,-0.0333333333333333,0.1969175901653735,0.0333333333333333,0.6496666666666666,training
172,-258.5953260972012,-0.0333333333333333,0.1977040186197713,0.0333333333333333,0.6536666666666666,training
173,-226.0348590555488,-0.0133333333333333,0.1977672466487116,0.0133333333333333,0.6513333333333333,training
174,-260.36624353796566,-0.02,0.1982324303053278,0.02,0.653,training
175,-237.85032507811644,-0.0333333333333333,0.1975800294998458,0.0333333333333333,0.6493333333333333,training
176,-225.6420190660178,-0.04,0.1987309699194113,0.04,0.6513333333333333,training
177,-234.2678914339851,-0.02,0.1974571074797491,0.02,0.6506666666666666,training
178,-268.07229181056874,-0.0133333333333333,0.2056410224715723,0.0133333333333333,0.649,training
179,-336.4979450664531,-0.04,0.2083960963255636,0.04,0.6506666666666666,training
180,-250.03143762692864,-0.0333333333333333,0.2011636727425584,0.0333333333333333,0.6526666666666666,training
181,-227.5631191625385,-0.02,0.1987630860045554,0.02,0.65,training
182,-237.72794133685872,-0.0333333333333333,0.1981436444841263,0.0333333333333333,0.6493333333333333,training
183,-233.32632634311952,-0.0266666666666666,0.197339488059018,0.0266666666666666,0.652,training
184,-215.230848050126,-0.0066666666666666,0.197854300834466,0.0066666666666666,0.6523333333333333,training
185,-251.3349160588864,-0.0333333333333333,0.2048240558270453,0.0333333333333333,0.6496666666666666,training
186,-282.1717651168146,-0.0466666666666666,0.2024483330383215,0.0466666666666666,0.65,training
187,-259.2319388463123,-0.0333333333333333,0.199854969682964,0.0333333333333333,0.6493333333333333,training
188,-307.4313224959678,-0.04,0.2107945201689804,0.04,0.6513333333333333,training
189,-255.25762247918368,-0.02,0.2046639756866622,0.02,0.6476666666666666,training
190,-220.2579328052876,-0.02,0.1999143130515971,0.02,0.6503333333333333,training
191,-255.6408858957057,-0.04,0.2129078155283089,0.04,0.653,training
192,-287.6025936803632,-0.0333333333333333,0.2053447805375085,0.0333333333333333,0.6523333333333333,training
193,-245.63341702735607,-0.02,0.2020800588904651,0.02,0.6486666666666666,training
194,-264.2543952469156,-0.0466666666666666,0.1983957415947736,0.0466666666666666,0.6496666666666666,training
195,-229.40398684992704,-0.02,0.1975704004671143,0.02,0.6536666666666666,training
196,-295.41768473231014,-0.0333333333333333,0.219844565733365,0.0333333333333333,0.6536666666666666,training
197,-256.98264498722466,-0.0266666666666666,0.2018559557394622,0.0266666666666666,0.6523333333333333,training
198,-218.0094553343129,-0.04,0.1973068060311426,0.04,0.6536666666666666,training
199,-201.0536964014861,-0.0133333333333333,0.1979077089342326,0.0133333333333333,0.6496666666666666,training
200,-244.02735232051427,-0.0266666666666666,0.2051542065727468,0.0266666666666666,0.6473333333333333,training
201,-325.62100066923085,-0.0466666666666666,0.2128446816623536,0.0466666666666666,0.6503333333333333,training
202,-247.80900839914293,-0.0466666666666666,0.2061522280936766,0.0466666666666666,0.6503333333333333,training
203,-258.5917258193421,-0.04,0.2017587327822053,0.04,0.6513333333333333,training
204,-303.3873122260192,-0.0333333333333333,0.2221929511533512,0.0333333333333333,0.655,training
205,-286.62257974053546,-0.04,0.2119494194122705,0.04,0.6536666666666666,training
206,-258.8315290721751,-0.0266666666666666,0.2031338684569479,0.0266666666666666,0.647,training
207,-245.2399398092369,-0.04,0.2026104771459184,0.04,0.6523333333333333,training
208,-280.737188081977,-0.0333333333333333,0.2153852449204372,0.0333333333333333,0.6493333333333333,training
209,-295.6070991058877,-0.0266666666666666,0.2131435780695511,0.0266666666666666,0.6543333333333333,training
210,-223.46313249052605,-0.0333333333333333,0.198264475893905,0.0333333333333333,0.651,training
211,-222.63280300165448,-0.0266666666666666,0.2006954869325758,0.0266666666666666,0.648,training
212,-446.34163289520194,-0.0666666666666666,0.2285603083513525,0.0666666666666666,0.6593333333333333,training
213,-340.766684778753,-0.0533333333333333,0.2289004905828464,0.0533333333333333,0.6543333333333333,training
214,-255.40016767077347,-0.04,0.2078187147499452,0.04,0.652,training
215,-252.1589925098008,-0.0266666666666666,0.2040026948192782,0.0266666666666666,0.6496666666666666,training
216,-264.4534096757016,-0.02,0.2084067442851474,0.02,0.6503333333333333,training
217,-222.2279032147998,-0.0133333333333333,0.1989026760676128,0.0133333333333333,0.65,training
218,-258.88625193628536,-0.0466666666666666,0.1970556280792296,0.0466666666666666,0.6496666666666666,training
