dag,reviewer,param_key,param_val,is_default,seed,app_timeout_rate,delay_succ,delay_all,UtilityScore_all,UtilityScore_succ,energy
default,R1-6,BONUS_TO,-2,False,42,0.04,1.0955587849634314,1.0840399650335109,0.6663805786367599,0.6660702046510576,0.19972282902658048
default,R1-6,W_E,0p025,False,1,0.12,1.2476421720340318,1.2135489665876786,0.36704066384164763,0.3656105244332761,0.2038828765128152
default,R1-6,W_E,0p05,False,1,0.10666666666666667,1.2539716359215214,1.2179371196433606,0.4373084390323292,0.43589537890978464,0.20473602460924262
default,R1-6,W_E,0p1,False,1,0.12,1.2549172004183617,1.2189665416708115,0.36702986559139156,0.3655217463833148,0.2038107897828041
default,R1-6,W_E,0p2,False,1,0.11333333333333333,1.2500956865731538,1.2168117963233192,0.40340329538810515,0.40205224992002253,0.20415460000277305
default,R1-6,W_E,0,False,1,0.11333333333333333,1.2492319264863536,1.2141035130521431,0.40288507882072067,0.4014583995937835,0.20553853271996247
default,R1-6,W_E,0p025,False,3,0.12,1.3547839744161196,1.3130010470523583,0.353799516512556,0.3520272812548274,0.22676379618514805
default,R1-6,W_E,0p05,False,3,0.12666666666666668,1.3650548251938672,1.3040094303178833,0.31529779343843417,0.31263171483985985,0.22618194733354866
default,R1-6,W_E,0p1,False,3,0.11333333333333333,1.3788706176762795,1.317193277669656,0.3903336761936947,0.38779777248455694,0.22981590527369003
default,R1-6,W_E,0p2,False,3,0.14666666666666667,1.3785166988221342,1.3105023571283796,0.19364362067795055,0.19046990398916505,0.22712559458917383
default,R1-6,W_E,0,False,3,0.16666666666666666,1.3649903448505885,1.3071592643854517,0.06523969131349026,0.0624492205666029,0.2253932361358924
default,R1-6,W_E,0p025,False,5,0.15333333333333332,1.2955183856176604,1.2518445859233436,0.15096799760891466,0.14889958726650812,0.20073348765202592
default,R1-6,W_E,0p05,False,5,0.12666666666666668,1.2813872495185115,1.2552893745987588,0.3153522489472536,0.3142131074203057,0.2042528817361913
default,R1-6,W_E,0p1,False,5,0.14666666666666667,1.2809150070039885,1.2481137054631108,0.19491640129208407,0.19338709643196708,0.2023573797777676
default,R1-6,W_E,0p2,False,5,0.14,1.281749707805353,1.2458780976296508,0.23561540842158166,0.2339732545192197,0.2011550092490007
default,R1-6,W_E,0,False,5,0.12,1.2840074373260455,1.264552517363155,0.35283448081390323,0.35200896742613996,0.20295154670881063
default,R1-6,W_E,0p025,False,7,0.02,1.094067786466673,1.082154793063117,0.6963169987145359,0.6960195492199985,0.19590583566481115
default,R1-6,W_E,0p05,False,7,0.04,1.0938648633256796,1.08004198063776,0.6728583442174527,0.6724916706316958,0.1956153486407476
default,R1-6,W_E,0p1,False,7,0.03333333333333333,1.126557640239939,1.1133685428826121,0.6776557271846768,0.6773100137746478,0.19481898131636777
default,R1-6,W_E,0p2,False,7,0.04666666666666667,1.1309992832529216,1.1147593597059438,0.6558871257924347,0.6554385559938628,0.19455455077467493
